authorID,name,biography,birthdate,nationality
1.0,  Ian Henderson  ," Some two I consider. Cold part school television. Success skill owner common.
Foot tell them spring difference full. Real organization modern size. Pick kind interest rest detail carry. ", 1984-03-22 , Unknown 
2.0,Jason Gibson," Drive design choose evening have serve. True region wall newspaper important go feeling.
Happy note recent maintain old school improve. Quite old meeting same skill. ",1946-03-01, Tokelau 
3.0,,Apply property least place. Probably beat almost never draw. Bad thought side tough commercial serve focus.,,Papua New Guinea
4.0,  Travis Wilson  ," Scene particular find ok face rock. Impact necessary front across. Leave claim need firm American.
Control daughter method but personal film about glass. Task bad because degree movement lawyer. ", 1952-03-17 , Ecuador 
5.0,   Kristen Lee   ,"Wind voice serve. Miss feel must energy. Shoulder beyond former Mrs himself return.
Page city rock hold. Player your will black. Range future next old music attention.",1972-06-09,
6.0, Suzanne Gonzales ," Employee keep prevent and report source type. Be natural wrong heart gas region lawyer. His under modern nor might world.
Wear recently happy church. Page meeting last. ", 1995-04-26 , Pakistan 
7.0, Mike Carroll ," Car long that.
Defense live start item. Almost trial letter also nice administration field. Lead this interest candidate. Happen adult foot trip book Mrs population. ", 1946-10-03 ,
8.0,  Erica Marks  ," Provide pay still white war. Foreign sort stay vote industry.
Security fire purpose center young father. Could hospital responsibility painting central remain hot. ", 1980-04-16 , Tonga 
9.0, Nicole Daniel ,"Cultural nor best away soldier start glass. Sport put two include own. Wonder alone message national none.
Camera pick question through country. Event image ready identify face.",1964-12-30,Heard Island and McDonald Islands
10.0,Stephen Jackson,"Interview national section process treat answer child. Bill election pull mean right everybody.
Line involve just use ever believe way affect. Exactly big treat each middle same.", 1944-12-16 ,Cameroon
11.0, Megan Green ,"Our treatment never technology good million. Benefit citizen myself music decide argue yeah about. Article between lose gas population challenge floor.
Out prove state Democrat. Easy my role PM.", 1975-06-18 ,
12.0,," Deal work or success practice who learn.
Toward among air window eye. Seven themselves shoulder. Owner another short yet all finish step. ", 1990-02-26 ,
13.0,  Duane Washington  ,"He happy player lay board. Way agent five word successful serve no different.
Employee test affect sister indicate act. Church leader community. Sort news similar voice.", 1970-06-02 ,Nicaragua
14.0,  Heather Jackson  , Long some least political risk. Into trial issue which while pretty space third. Small available sign particular receive consumer condition. , 1962-09-08 ,Croatia
